service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  512,   76560,      18,22:19   ,NORTHGATE TRANSIT CENTER,nortc,          1,North
Saturday ,  512,   76560,      18,22:22   ,I-5 at 117th, Northgate,117i5,          2,North
Saturday ,  512,   76560,      18,22:29   ,I-5 & NE 195th,195i5,          3,North
Saturday ,  512,   76560,      18,22:32   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Saturday ,  512,   76560,      18,22:37   ,Lynnwood Transit Center,lynntc,          5,North
Saturday ,  512,   76560,      18,22:44   ,Ash Way Park & Ride,awypr,          6,North
Saturday ,  512,   76560,      18,22:54   ,South Everett Freeway Station,sefs,          7,North
Saturday ,  512,   76560,      18,23:04   ,Everett Station,evtst,          8,North
Saturday ,  512,   76565,      11,23:14   ,NORTHGATE TRANSIT CENTER,nortc,          1,North
Saturday ,  512,   76565,      11,23:17   ,I-5 at 117th, Northgate,117i5,          2,North
Saturday ,  512,   76565,      11,23:24   ,I-5 & NE 195th,195i5,          3,North
Saturday ,  512,   76565,      11,23:27   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Saturday ,  512,   76565,      11,23:32   ,Lynnwood Transit Center,lynntc,          5,North
Saturday ,  512,   76565,      11,23:39   ,Ash Way Park & Ride,awypr,          6,North
Saturday ,  512,   76565,      11,23:48   ,South Everett Freeway Station,sefs,          7,North
Saturday ,  512,   76565,      11,23:57   ,Everett Station,evtst,          8,North
Saturday ,  512,   76567,      14,23:44   ,NORTHGATE TRANSIT CENTER,nortc,          1,North
Saturday ,  512,   76567,      14,23:47   ,I-5 at 117th, Northgate,117i5,          2,North
Saturday ,  512,   76567,      14,23:54   ,I-5 & NE 195th,195i5,          3,North
Saturday ,  512,   76567,      14,23:57   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Saturday ,  512,   76567,      14,24:02   ,Lynnwood Transit Center,lynntc,          5,North
Saturday ,  512,   76567,      14,24:09   ,Ash Way Park & Ride,awypr,          6,North
Saturday ,  512,   76567,      14,24:18   ,South Everett Freeway Station,sefs,          7,North
Saturday ,  512,   76567,      14,24:27   ,Everett Station,evtst,          8,North
Saturday ,  512,   76569,      18,24:14   ,NORTHGATE TRANSIT CENTER,nortc,          1,North
Saturday ,  512,   76569,      18,24:17   ,I-5 at 117th, Northgate,117i5,          2,North
Saturday ,  512,   76569,      18,24:24   ,I-5 & NE 195th,195i5,          3,North
Saturday ,  512,   76569,      18,24:27   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Saturday ,  512,   76569,      18,24:32   ,Lynnwood Transit Center,lynntc,          5,North
Saturday ,  512,   76569,      18,24:39   ,Ash Way Park & Ride,awypr,          6,North
Saturday ,  512,   76569,      18,24:48   ,South Everett Freeway Station,sefs,          7,North
Saturday ,  512,   76569,      18,24:57   ,Everett Station,evtst,          8,North
Saturday ,  512,   76571,      13,24:48   ,NORTHGATE TRANSIT CENTER,nortc,          1,North
Saturday ,  512,   76571,      13,24:51   ,I-5 at 117th, Northgate,117i5,          2,North
Saturday ,  512,   76571,      13,24:58   ,I-5 & NE 195th,195i5,          3,North
Saturday ,  512,   76571,      13,25:01   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Saturday ,  512,   76571,      13,25:06   ,Lynnwood Transit Center,lynntc,          5,North
Saturday ,  512,   76571,      13,25:13   ,Ash Way Park & Ride,awypr,          6,North
