service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Sunday   ,,   85049,   85014,14:42   ,Kasch Park Base,base2,          1,
Sunday   ,,   85049,   85014,14:59   ,Everett Station,evtst,          2,
Sunday   ,,   85038,   85003, 5:13   ,Kasch Park Base,base2,          1,
Sunday   ,,   85038,   85003, 5:30   ,Everett Station,evtst,          2,
Sunday   ,,   85040,   85005, 6:25   ,Kasch Park Base,base2,          1,
Sunday   ,,   85040,   85005, 6:42   ,Everett Station,evtst,          2,
Sunday   ,,   85056,   85021,17:43   ,Kasch Park Base,base2,          1,
Sunday   ,,   85056,   85021,18:00   ,Everett Station,evtst,          2,
Sunday   ,,   85107,   85020,20:07   ,NORTHGATE TRANSIT CENTER,nortc,          1,
Sunday   ,,   85107,   85020,20:10   ,,3NG100,          2,
Sunday   ,,   85054,   85019,16:42   ,Kasch Park Base,base2,          1,
Sunday   ,,   85054,   85019,16:59   ,Everett Station,evtst,          2,
Sunday   ,,   85082,   85014,22:24   ,Everett Station,evtst,          1,
Sunday   ,,   85082,   85014,22:39   ,Kasch Park Base,base2,          2,
Sunday   ,,   85087,   85017,24:11   ,Everett Station,evtst,          1,
Sunday   ,,   85087,   85017,24:26   ,Kasch Park Base,base2,          2,
Sunday   ,,   85077,   85013,18:58   ,Everett Station,evtst,          1,
Sunday   ,,   85077,   85013,19:13   ,Kasch Park Base,base2,          2,
Sunday   ,,   85080,   85011,21:25   ,Everett Station,evtst,          1,
Sunday   ,,   85080,   85011,21:40   ,Kasch Park Base,base2,          2,
Sunday   ,,   85052,   85017,15:42   ,Kasch Park Base,base2,          1,
Sunday   ,,   85052,   85017,15:59   ,Everett Station,evtst,          2,
Sunday   ,,   85092,   85002, 5:49   ,NORTHGATE TRANSIT CENTER,nortc,          1,
Sunday   ,,   85092,   85002, 5:52   ,,3NG100,          2,
Sunday   ,,   85061,   85003,13:18   ,Everett Station,evtst,          1,
Sunday   ,,   85061,   85003,13:33   ,Kasch Park Base,base2,          2,
Sunday   ,,   85068,   85007,16:49   ,Everett Station,evtst,          1,
Sunday   ,,   85068,   85007,17:04   ,Kasch Park Base,base2,          2,
Sunday   ,,   85032,   85020,22:38   ,,3NG100,          1,
Sunday   ,,   85032,   85020,22:39   ,NORTHGATE TRANSIT CENTER,nortc,          2,
Sunday   ,,   85036,   85001, 4:23   ,Kasch Park Base,base2,          1,
Sunday   ,,   85036,   85001, 4:40   ,Everett Station,evtst,          2,
Sunday   ,,   85114,   85020,22:33   ,NORTHGATE TRANSIT CENTER,nortc,          1,
Sunday   ,,   85114,   85020,22:36   ,,3NG100,          2,
Sunday   ,,   85046,   85011,13:02   ,Kasch Park Base,base2,          1,
Sunday   ,,   85046,   85011,13:19   ,Everett Station,evtst,          2,
Sunday   ,,   85083,   85016,22:43   ,Everett Station,evtst,          1,
Sunday   ,,   85083,   85016,22:58   ,Kasch Park Base,base2,          2,
Sunday   ,,   85053,   85018,15:44   ,Kasch Park Base,base2,          1,
Sunday   ,,   85053,   85018,16:19   ,NORTHGATE TRANSIT CENTER,nortc,          2,
Sunday   ,,   85057,   85005, 8:19   ,Everett Station,evtst,          1,
Sunday   ,,   85057,   85005, 8:34   ,Kasch Park Base,base2,          2,
Sunday   ,,   85044,   85009, 9:43   ,Kasch Park Base,base2,          1,
Sunday   ,,   85044,   85009,10:00   ,Everett Station,evtst,          2,
Sunday   ,,   85039,   85004, 5:37   ,Kasch Park Base,base2,          1,
Sunday   ,,   85039,   85004, 5:54   ,Everett Station,evtst,          2,
Sunday   ,,   85041,   85006, 7:46   ,Kasch Park Base,base2,          1,
Sunday   ,,   85041,   85006, 8:03   ,Everett Station,evtst,          2,
Sunday   ,,   85045,   85010,11:42   ,Kasch Park Base,base2,          1,
Sunday   ,,   85045,   85010,11:59   ,Everett Station,evtst,          2,
Sunday   ,,   85051,   85016,15:04   ,Kasch Park Base,base2,          1,
Sunday   ,,   85051,   85016,15:39   ,NORTHGATE TRANSIT CENTER,nortc,          2,
Sunday   ,,   85072,   85009,17:39   ,Everett Station,evtst,          1,
